Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
72459,3.0,1,1,1
192196,3.0,1,1,1
19735,2.0,1,0,1
240168,2.0,1,0,1
53318,2.0,1,0,1
227674,2.0,1,0,1
329366,2.0,1,0,1
12300,2.0,1,0,1
613264,2.0,1,0,1
101592,2.0,1,0,1
20637,2.0,1,0,1
13046,2.0,1,1,0
19395,2.0,1,0,1
58175,2.0,1,0,1
217578,2.0,1,0,1
212307,2.0,1,0,1
432516,2.0,1,0,1
380654,2.0,1,0,1
118567373,1.0,1,0,0
68953,1.0,1,0,0
28135,1.0,1,0,0
230576,1.0,1,0,0
67988,1.0,1,0,0
93884,1.0,1,0,0
56461,1.0,1,0,0
72338,1.0,1,0,0
268448,1.0,1,0,0
277250,1.0,1,0,0
56410,1.0,1,0,0
18094,1.0,1,0,0
252974,1.0,1,0,0
18074,1.0,1,0,0
241568,1.0,1,0,0
329387,1.0,1,0,0
73332,1.0,1,0,0
269019,1.0,1,0,0
13591,1.0,1,0,0
71997,1.0,1,0,0
223978,1.0,1,0,0
22174,1.0,1,0,0
76561,1.0,1,0,0
75782,1.0,1,0,0
93878,1.0,1,0,0
239364,1.0,1,0,0
58180,1.0,1,0,0
